Hour,temp_f
00:00:00,71.22344262295084
01:00:00,70.3627868852459
02:00:00,69.58081967213107
03:00:00,68.92524590163936
04:00:00,68.34442622950823
05:00:00,67.89196721311477
06:00:00,68.45950819672125
07:00:00,69.43131147540981
08:00:00,70.88065573770491
09:00:00,72.58721311475415
10:00:00,74.29967213114753
11:00:00,75.79377049180327
12:00:00,77.14180327868854
13:00:00,78.10868852459016
14:00:00,78.79672131147544
15:00:00,78.99147540983606
16:00:00,78.77803278688525
17:00:00,77.89770491803279
18:00:00,76.78131147540988
19:00:00,75.64131147540986
20:00:00,74.44819672131143
21:00:00,73.45180327868857
22:00:00,72.66491803278693
23:00:00,71.99704918032786
